Fountain_Height_2.0_m,Drop_Height_2.0_m,Fountain_Height_5.0_m,Drop_Height_5.0_m,Drop_Height_1.0_m,Fountain_Height_1.0_m,Drop_Height_3.5_m,Fountain_Height_3.5_m,Measured_Drop_Height_m,Average_Fountain_Height_m,Standard_Deviation,,Theoritical_Drop_Height_m,Theoritical_Fountain_Height_m
0.1874,2,0.2491,5,1,0.1874,3.5,0.2392,0.96,0.16917,0.013432965,,0.96,0.14
0.1495,2,0.2947,5,1,0.1495,3.5,0.2735,1.89,0.16917,0.013432965,,1.89,0.16
0.1846,2,0.2705,5,1,0.1846,3.5,0.2389,3.45,0.26523,0.03091156,,3,0.23
0.1864,2,0.3148,5,1,0.1864,3.5,0.2776,5,0.27083,0.03008237,,3.45,0.25
0.1731,2,0.262,5,1,0.1731,3.5,0.2549,,,,,4,0.27
0.1588,2,0.2876,5,1,0.1588,3.5,0.218,,,,,5,0.31
0.1617,2,0.2177,5,1,0.1617,3.5,0.2616,,,,,,
0.1683,2,0.2437,5,1,0.1683,3.5,0.2677,,,,,,
0.1662,2,0.3053,5,1,0.1662,3.5,0.3272,,,,,,
0.1557,2,0.2629,5,1,0.1557,3.5,0.2937,,,,,,